ballsy;draufgaengerisch
prank;Streich
emphasize;betonen
bead;Korn
errands;Besorgungen
convey;vermitteln
grateful;dankbar
spiteful;boshaft
oblivion;Vergessenheit
redemption;Erloesung
seaboard;Kueste
conducive;foerderlich
rugged;robust
deem;zu schaetzen wissen
deemed;angenommen
refrain from;unterlassen
fell prey;fiel Beute
devoid;leer
elysian fields;elysische Felder
ostentatious;ostentativ
overt;offen
vernacular;Umgangssprache
jutting out;herausragend
exceedingly;ueberaus
cusp;Hoecker
vow;Geluebde
resented;veraergert
tenacious;zaeh
anointed;gesalbt
canvas;Segeltuch
sentry;Posten
engulf;verschlingen
shrapnel;Schrapnell
wrinkle;Falten
tremors;Zittern
refurbishment;Sanierung
to court;den Hof machen
bold;Fett gedruckt
vivid;lebhaft
warranted;garantiert
parentheses;Klammern
contrived;gekuenstelt
allegation;Behauptung
to take advantage of;ausnutzen
antidote;Gegenmittel
prone;anfaellig
concatenate;verketten
jeopardize;gefaehrden
tackle;angehen
funnel;Trichter
